ParallelizationRatio,Worker,Time(ms),Speedup
100,23,9443,3.50
0,24,32993,1.00
10,24,33029,1.00
20,24,31713,1.04
30,24,29914,1.11
40,24,27857,1.19
50,24,25339,1.31
60,24,22855,1.45
70,24,19593,1.69
80,24,16477,2.01
90,24,12805,2.58
100,24,9418,3.51
0,25,33003,1.00
10,25,32905,1.00
20,25,31643,1.05
30,25,30320,1.09
40,25,28178,1.17
50,25,25499,1.30
60,25,22880,1.45
70,25,20149,1.64
80,25,17011,1.94
90,25,13087,2.53
100,25,9541,3.47
0,26,32991,1.00
10,26,32897,1.01
20,26,31930,1.04
30,26,29895,1.11
40,26,28118,1.18
50,26,25539,1.29
60,26,22381,1.48
70,26,19742,1.68
80,26,16440,2.01
90,26,12993,2.55
100,26,9029,3.66
0,27,32998,1.00
10,27,33091,1.00
20,27,31993,1.03
30,27,30325,1.09
40,27,28160,1.17
50,27,25721,1.29
60,27,23122,1.43
70,27,20145,1.64
80,27,16627,1.99
90,27,13383,2.47
100,27,10163,3.25
0,28,33006,1.00
10,28,32925,1.00
20,28,31664,1.04
30,28,30084,1.10
40,28,27937,1.18
50,28,25203,1.31
60,28,22671,1.46
70,28,19273,1.72
80,28,16427,2.01
90,28,12549,2.64
100,28,9310,3.55
0,29,32997,1.00
10,29,32771,1.01
20,29,31651,1.04
30,29,30049,1.10
40,29,28149,1.17
50,29,25307,1.31
60,29,22974,1.44
70,29,20065,1.65
80,29,16563,2.00
90,29,12857,2.57
100,29,9759,3.39
0,30,32992,1.00
10,30,32727,1.01
20,30,31650,1.04
30,30,30026,1.10
40,30,27860,1.19
50,30,25620,1.29
60,30,22581,1.46
70,30,19663,1.68
80,30,16657,1.99
90,30,12980,2.55
100,30,9348,3.54
