ParallelizationRatio,Worker,Time(ms),Speedup
0,1,10332,1.00
10,1,10414,0.99
20,1,10737,0.96
30,1,10925,0.94
40,1,11009,0.94
50,1,11100,0.93
60,1,11787,0.87
70,1,11452,0.90
80,1,11854,0.87
90,1,11864,0.87
100,1,12203,0.84
0,2,10133,1.02
10,2,10274,1.00
20,2,10291,1.00
30,2,10322,1.00
40,2,9601,1.07
50,2,9353,1.10
60,2,8941,1.15
70,2,8656,1.19
80,2,8132,1.27
90,2,7675,1.34
100,2,7340,1.40
0,3,10211,1.01
10,3,10465,0.98
20,3,10214,1.01
30,3,10051,1.02
40,3,9647,1.07
50,3,9107,1.13
60,3,8446,1.22
70,3,7846,1.31
80,3,7269,1.42
90,3,7023,1.47
100,3,5838,1.76
0,4,10290,1.00
10,4,10274,1.00
20,4,10106,1.02
30,4,9877,1.04
40,4,9785,1.05
50,4,9328,1.10
60,4,8622,1.19
70,4,8177,1.26
80,4,7578,1.36
90,4,6630,1.55
100,4,6149,1.68
