              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   25.68 4990 125.14   8  7 85  1.66 1.79 1.87
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   19.25 4826 90.71   6  7 88  1.66 1.79 1.87
    4.99 2223 10.84   8  7 85  1.66 1.79 1.87
    5.81  643  3.65  11 10 79  1.69 1.79 1.87
mmap_write start2
  127.52 2898 360.87   7  8 85  1.69 1.79 1.87
  217.64 2377 505.11  10  9 81  1.69 1.79 1.87
  212.75 2340 486.25   5  5 90  1.69 1.79 1.87
  194.72 2525 480.10   5  6 89  1.69 1.79 1.87
  217.85 2315 492.49   5  6 89  1.71 1.80 1.87
  212.31 2356 488.40   4  6 89  1.71 1.80 1.87
  219.04 2290 489.84   3  4 92  1.71 1.80 1.87
  214.99 2158 453.11   3  4 93  1.71 1.80 1.87
  212.17 2170 449.62   3  6 91  1.71 1.80 1.87
  168.05 2845 466.93   4  6 90  1.73 1.80 1.87
  196.12 2527 483.96   4  6 90  1.73 1.80 1.87
  202.05 2291 452.02   6  7 87  1.73 1.80 1.87
  219.65 2202 472.27   3  5 92  1.73 1.80 1.87
   77.86 1557 118.42  11  9 80  1.73 1.80 1.87
   13.89  221  3.00  11  9 80  1.83 1.82 1.88
    6.36  129  0.80  12  9 79  1.83 1.82 1.88
    7.01  185  1.26  10 10 80  1.83 1.82 1.88
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   55.43    7  0.38   5  2 93  1.83 1.82 1.88
read_write start1
  413.27 2402 969.46   8  5 86  1.83 1.82 1.88
  679.63 2038 1352.35   2  5 93  1.77 1.81 1.87
  669.38 1999 1306.69   2  5 93  1.77 1.81 1.87
  657.61 2094 1344.85   2  5 93  1.77 1.81 1.87
  416.50 2909 1183.28   4  7 89  1.77 1.81 1.87
   10.02  874  8.55  12 11 76  1.77 1.81 1.87
    9.97  471  4.58  11  9 80  1.87 1.83 1.88
    8.11  251  1.99  11 10 80  1.87 1.83 1.88
    5.77  156  0.88  12 10 78  1.87 1.83 1.88
read_write start2
   16.91  197  3.25   8  7 85  1.87 1.83 1.88
  510.77 2475 1234.36   4  5 91  1.87 1.83 1.88
  646.99 2005 1267.04   3  5 92  1.72 1.79 1.87
  655.70 1971 1261.82   2  5 93  1.72 1.79 1.87
  623.86 1942 1183.19   3  5 92  1.72 1.79 1.87
  392.81 2655 1018.38   3  6 91  1.72 1.79 1.87
   89.02 1647 143.19   8  7 85  1.72 1.79 1.87
    7.49 1440 10.53  10  9 81  1.66 1.78 1.86
   11.62  167  1.89  11  9 81  1.66 1.78 1.86
    5.52  639  3.45  13 10 77  1.66 1.78 1.86
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    8.70  115  0.97  10  9 81  1.66 1.78 1.86
   32.40   30  0.95   3  3 94  1.66 1.78 1.86
   16.00    9  0.14   2  1 96  1.61 1.77 1.86
   31.55  319  9.82   5  5 90  1.61 1.77 1.86
   29.98  164  4.80  10  4 86  1.61 1.77 1.86
   26.55 1625 42.14  14 10 76  1.61 1.77 1.86
   20.60  660 13.28  13  7 80  1.61 1.77 1.86
   24.15  233  5.49   6  4 89  1.64 1.77 1.86
   28.87  143  4.02   4  3 93  1.64 1.77 1.86
    0.00    0  0.00   4  2 94  1.64 1.77 1.86
